"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 26, 2020","4:00 PM","Sat","(4) Georgia","@","Arkansas","SEC","W",37,10,1,0,"W 1",NA
"2",2,"Oct 3, 2020","7:30 PM","Sat","(4) Georgia","","(7) Auburn","SEC","W",27,6,2,0,"W 2",NA
"3",3,"Oct 10, 2020","3:30 PM","Sat","(3) Georgia","","(14) Tennessee","SEC","W",44,21,3,0,"W 3",NA
"4",4,"Oct 17, 2020","8:00 PM","Sat","(3) Georgia","@","(2) Alabama","SEC","L",24,41,3,1,"L 1",NA
"5",5,"Oct 31, 2020","12:00 PM","Sat","(5) Georgia","@","Kentucky","SEC","W",14,3,4,1,"W 1",NA
"6",6,"Nov 7, 2020","3:30 PM","Sat","(5) Georgia","N","(8) Florida","SEC","L",28,44,4,2,"L 1",NA
"7",7,"Nov 21, 2020","7:30 PM","Sat","(13) Georgia","","Mississippi State","SEC","W",31,24,5,2,"W 1",NA
"8",8,"Nov 28, 2020","7:30 PM","Sat","(13) Georgia","@","South Carolina","SEC","W",45,16,6,2,"W 2",NA
"9",9,"Dec 12, 2020","12:00 PM","Sat","(12) Georgia","@","Missouri","SEC","W",49,14,7,2,"W 3",NA
"10",10,"Dec 19, 2020","12:00 PM","Sat","(12) Georgia","","Vanderbilt","SEC","",NA,NA,NA,NA,"",NA
